รหัสสินค้า,รายละเอียด,หน่วยนับ,หมวด,สินค้าต้นงวด,จำนวนขาย,จำนวนซื้อ,จำนวนรับคืน,จำนวนปรับปรุง,จำนวนคงเหลือ,ต้นทุนสินค้ารวม,ราคาต้นทุนเฉลี่ย
03FU30SS,กุญแจประตูเลื่อนทรงกลม TM#03-FU-30-SS,ชุด,20,2,1,12,0,0,13,5200,400
03JT86SS,กุญแจบานเลื่อนคอม้า TM 03-JT86-SS,ชุด,20,3,12,22,0,0,13,5200,400
03MJV30SS,กุญแจประตูเลื่อนทรงกลมตัวใหญ่ TM#03-MJV-30-SS,ชุด,20,0,0,12,0,0,12,6720,560
03XLS11,กุญแจบานเลื่อนคอม้า TM 03-XL-S-11,ชุด,20,4,1,0,0,0,3,1200,400
04-00-020-22,"อะไหล่กบ 1100 ""แกนเพลากบ""",ชุด,90,1,0,0,0,0,1,437,437
04-00-033,"อะไหล่กบ 1600 ""ฝาปิดลูกปืน (26)",อัน,90,6,0,0,0,0,6,625,104.1667
04-00-061,ที่ตั้งใบกบ #1804,แผง,80,1,0,0,0,0,1,100,100
04-00-069,ที่ตั้งใบกบ #1600,อัน,80,5,0,0,0,0,5,125,25
04000104,ล้อเลื่อนประตู 4 ลูกล้อ 104,ชุด,80,1,0,0,0,0,1,299.7171,299.7171
0400192,สีทาหลังคา TOA # R-192 แดงตะวัน,แกลอน,40,8,0,0,0,0,8,3132.71,391.5888
040400001,"ท่อ Fiex 4""+สายรัด",อัน,89,0,4,4,0,4,4,1300,325
04104304,อุปกรณ์บานประตูเลื่อน TM 100 กก.,ชุด,20,2,36,48,0,0,14,4560,325.7143
0412101001054,ไฟฉุกเฉิน EM 054(รุ่น 8ซม.),ชุด,90,3,0,0,0,0,3,4293,1431
0412101001069,ไฟฉุกเฉิน EM 069,ชุด,90,2,0,0,0,0,2,3042,1521
0417535217198,"เคเบิ้ลไทล์-ขาว FL-200 IC 8""",เส้น,20,0,25,0,0,100,75,0,0
0419024010001,"เคเบิ้ลไทล์-ขาวFL-100 MC 4""",แพ๊ค,20,37,38,0,0,5,4,34,8.5
0419024010003,"เคเบิ้ลไทล์-ขาวFL-200 IC 8""",แพ๊ค,20,29.5,1,0,0,0,28.5,940.5,33
0419024010004,"เคเบิ้ลไทล์-ขาวFL-250 STC 10""",แพ๊ค,20,0,1,0,0,10,9,594,66
0419024010006,"เคเบิ้ลไทล์-ขาวFL-300 STC 12""",เส้น,20,9,33,0,0,92,68,5032,74
0419024010007,"เคเบิ้ลไทล์-ขาวFL-370 ST 15""",แพ๊ค,20,164,66,0,0,0,98,10241,104.5
0419024011001,"เคเบิ้ลไทล์-ดำ FL-100MC 4""",แพ๊ค,20,68,63,0,0,0,5,42.5,8.5
0419024011002,"เคเบิ้ลไทล์-ดำ FL-150IBC 6""",แพ๊ค,20,11,2,0,0,0,9,202.5,22.5
0419024011003,"เคเบิ้ลไทล์-ดำ FL-200ICB 8""",แพ๊ค,20,26,0,0,0,0,26,858,33
0419024011005,"เคเบิ้ลไทล์-ดำ FL-250STC 10""",แพ๊ค,20,2,0,0,0,0,2,132,66
0419024011006,"เคเบิ้ลไทล์-ดำ FL-300SCT 12""",แพ๊ค,20,9,0,0,0,0,9,666,74
0419024011007,"เคเบิ้ลไทล์-ดำ FL-370STB 15""",แพ๊ค,20,31,27,0,0,0,4,418,104.5
043168981637,หลอด black light อีจี 40 W,หลอด,90,0,3,12,0,0,9,3330,370
043168981644,หลอด black light อีจี20,หลอด,90,0,2,12,0,0,10,3200,320
04532515052,ดอกไขควง VERMONT # 2,ชิ้น,80,20,0,0,0,0,20,607.4,30.37
045325150528,ดอกไขควง VERMONT # 2,ชิ้น,80,18,2,0,0,0,16,485.92,30.37
045325162606,"ดอกไขควง VERMONT # 2 1 1/2""",ชิ้น,80,23,3,0,0,0,20,951.4269,47.5713
045325162743,ดอกไขควง VERMONT # 2,ชิ้น,80,15,14,0,0,0,1,82.01,82.01
045325164839,ดอกไขควง VERMONT # 2PH 8-10,ชิ้น,80,13,0,0,0,0,13,819.52,63.04
045325183816,โฮวซอเจาะลูกบิดตรา Vermont,ชิ้น,80,3,0,0,0,0,3,1027.2652,342.4217
045731132309,ปืนยิงกาวไฟฟ้า ST # 69-CR20C,อัน,90,8,0,0,0,0,8,0,0
04XL108304,อุปกรณ์บานประตูเลื่อน TM 8 ลูกล้อ,ชุด,20,16,3,0,0,0,13,5980,460
051131886693,คอมมานตะขอแกนเหล็ก (7711126),แผง,11,6,0,0,0,0,6,336,56
051131886753,คอมมานแขวนแปรงมีดโกน (1123),แผง,11,3,0,0,0,0,3,339,113
051131886754,คอมมานต์+ที่วางสบู่ (7711124),แผง,11,3,0,0,0,0,3,339,113
051131992127,คอมมานตะขอเหล็กกลาง (1127),แผง,60,6,0,0,0,0,6,396,66
051135208328,กรรไกรอเนกประสงค์ Scotch 1426,แผง,20,1,0,0,0,0,1,30,30
051138290092,โฟมอุดหูลดเสียง มีสาย,คู่,80,43,25,0,0,0,18,162,9
051138542023,ชุดหน้ากากป้องกันกลิ่น 3M 3200-55,ชุด,80,2,0,0,0,0,2,1260,630
055058121597,"แปรงทาสี 3"" เฟชโก้#777",อัน,80,48,0,0,0,0,48,1980,41.25
0572100881270,ชุดบล๊อคอเนกประสงค์ JH TOOL,ชุด,89,2,1,0,1,0,2,900,450
05888100,สายน้ำดีแสตนเลส TM100 cm,เส้น,60,0,30,30,2,0,2,240,120
05888120,สายน้ำดีแสตนเลส TM 120 cm,เส้น,60,5,26,30,0,0,9,1235.9864,137.3318
05888150,สายฝักบัวแสตนเลส  TM120 cm,เส้น,60,5,43,60,1,0,23,2184.4524,94.9762
05888180,สายฝักบัวแสตนเลส TM 180 cm,เส้น,60,8,16,20,0,0,12,1739.8639,144.9887
